"cvegeo","frec"
"0901100010039006",1
"0901500011394016",1
"0901600011315006",1
"0900300010215015",1
"0901400010134016",1
"0901000011203008",1
"0900300011552034",1
"0901500011464001",1
"0900500011665016",1
"0900700012155011",1
"0900300011317006",1
"0900500013214021",1
"0900700014170018",1
"0900200010237014",1
"0901200012155003",1
"090020001081A015",1
"0901400010261006",1
"0901400010331019",1
"0901200011176006",1
"0900700014382047",1
"0901000011699040",2
"0901500010339002",1
"090070001426A004",1
"0901400010651008",1
"0901000010440020",2
"0900700012174018",1
"0901500011233017",1
"0901100010058017",1
"0901300010550009",1
"0900700010977016",2
"0900500010826002",1
"0900700010553014",1
"0901000010544003",1
"0900700010619013",1
"0900500012907008",1
"0900600010310004",1
"0900500012678036",1
"0900200010491008",1
"0900600010518004",1
"0900500012150004",1
"0900700012634002",1
"0901100011111025",1
"0901200010591003",2
"0901200010498006",1
"090020001074A021",1
"0900800010300021",1
"0901300011101018",1
"0900400010354010",1
"0900400010176035",1
"0900300010431008",1
"0901200010708024",1
"0901200012121004",1
"0900300010304006",1
"0900300011374016",1
"0901700010456010",1
"0900700011299024",1
"0900700011000007",1
"0901400010562004",1
"0901200010360016",1
"0900600010452030",2
"0900900170365014",1
"0901400010878002",1
"0901000010968015",1
"0900200010186005",1
"0900700010784019",1
"0901200011439006",1
"0901100010594040",1
"0901600011334007",1
"0901400010859015",1
"0901500010697002",1
"0900600010999033",1
"0900200010044010",1
"0900700015677030",1
"0901100010043014",1
"0901300010279007",2
"0900700013238032",1
"0900700011195023",1
"0901000011966010",2
"0900700012901026",1
"0901200010784017",1
"0901000011114004",1
"0901600010961003",1
"090050001103A023",1
"0901700010916007",2
"0900500010440004",1
"0901700010598002",1
"0901700010831006",1
"090050001217A021",1
"0901100010132007",1
"0900700010534014",1
"0900700011354008",1
"0901200010375002",1
"0901000010510018",1
"0901400010187016",1
"0900600010293002",1
"0901500010663014",2
"0901000010900011",1
"0900700011513027",1
"0901600010590008",1
"090070001159A004",1
"0901300010353013",1
"0901600010730007",1
"0901400010149008",1
"0900200010858023",1
"0900600010575001",1
"0901100010344014",1
"0900500011237016",1
"0900700012155017",1
"0900700012899021",1
"0900900170365036",1
"0901100010202001",1
"0900500011044025",1
"0900300011707019",1
"0901100010950025",1
"0900300010357017",1
"0900500012095004",1
"0901200010905017",1
"0900500010968005",1
"0901400010755009",1
"0900500010563007",1
"0901400010346018",1
"090080001025A003",2
"0901500010470003",1
"0900700011941020",1
"0901400010721003",1
"090040001002A017",2
"0901000010525001",1
"0900300011406010",1
"0900700015709001",1
"0900300010889018",1
"0901300010014007",1
"0901200011072047",1
"0901500010080026",1
"0900500011449004",1
"0900700013064006",1
"090150001056A015",1
"0901200261674008",1
"0901400010064006",1
"0900400010354022",2
"0901100010630011",1
"0901200011918003",1
"0900700013346044",1
"0900500013089032",1
"0900300010107028",1
"0901500010451006",1
"0901400010505018",1
"0901600010410023",1
"0901400010011011",1
"0900500010332022",1
"0900700011388010",2
"0901100111041003",1
"0901200010021008",1
"0900500011059009",1
"0900300010889027",1
"0900700012390024",1
"0900300011181014",1
"090090017037A013",1
"0900700011674026",1
"0901000011966022",1
"0901300010211022",1
